CUST_ID,ENT_ACCT_NUM,ENT_SEG_TYP,ENT_DTE,ENT_TME,ENT_SRC,ENT_AMT_TYP,ENT_AMT,ODR_LMT,ANT_LMT,UNP_BUFF,EB_BUFFER,OD_BUFFER,LB_LIMIT,RUN_LDG_XAU,Alert
810138187,13351747,FD,14001,0,SOI,4,-10,-3000,0,0,0,0,100,110,
810138187,13351747,FD,14001,7400000,SOI,3,-1000,-3000,0,0,0,0,100,-890,
810138187,13351747,FD,14001,11150000,SOI,4,-400,-3000,0,0,0,0,100,-1290,
810138187,13351747,FD,14001,16300000,SOI,3,-1100,-3000,0,0,0,0,100,-2390,
810138187,13351747,FD,14001,16350000,SOI,3,-500,-3000,0,0,0,0,100,-2890,
810138187,13351747,FD,14001,16400000,SOI,3,-700,-3000,0,0,0,0,100,-3590,
810138187,13351747,FD,14001,16500000,SOI,4,-200,-3000,0,0,0,0,100,-3790,
810138187,13351747,FD,14001,21000000,SOI,3,-100,-3000,0,0,0,0,100,-3890,
810138187,13351747,FD,14001,22000000,SOI,3,-100,-3000,0,0,0,0,100,-3990,
810138187,13351747,FD,14001,23300000,SOI,4,-2801,-3000,0,0,0,0,100,-6791,
